Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNsN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Cafe Neto,https://goo.gl/maps/ALR8iBiNsN6tVfuAA8,9AM,6PM,☕,💪,🔌
Bandel,https://wtforms.readthedocs.io/en/2.3.x/validators/,9AM,8PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
Landwer,https://developers.googleblog.com/2018/03/transitioning-google-url-shortener.html,5AM,7PM,☕☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌
Arcafee,https://arcaffe.co.il/,8AM,8PM,☕☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
sadfa,https://www.google.com,65,321,☕,💪,🔌🔌🔌🔌🔌
Betta,https://stackoverflow.com/questions/64709161/flask-http-0-0-0-05000-not-reachable,9AM,5PM,☕☕☕☕☕,💪💪💪💪,🔌🔌🔌
